subject,run,motion_param,plv_empirical,plv_null_median,plv_null_mean,plv_null_std,p_value,p_fdr,p_bonferroni,sig_uncorrected,sig_fdr,sig_bonferroni,n_null_samples
HaM,2,trans_z,0.10827757197762508,0.09666892412019643,0.1190479946406996,0.0772227267679647,0.48148148148148145,0.7777777777777778,1.0,False,False,False,27
HaM,2,rot_x,0.13886710788875986,0.15979839388892797,0.16196777854305214,0.08865939313827556,0.6296296296296297,0.8888888888888888,1.0,False,False,False,27
HaM,2,rot_y,0.14025524256813385,0.12735141466232486,0.15226766902620936,0.10002241005661118,0.48148148148148145,0.7777777777777778,1.0,False,False,False,27
HaM,2,rot_z,0.24437587994192375,0.12737572450892437,0.14824971964158845,0.0791327223997136,0.1111111111111111,0.3733333333333333,1.0,False,False,False,27
ElL,1,trans_x,0.13710369895176872,0.14326574228786007,0.15933394747804855,0.08948439083260551,0.5555555555555556,0.8333333333333334,1.0,False,False,False,27
ElL,1,trans_y,0.1372425320885798,0.1662648754682103,0.1574653387153446,0.06748292244105018,0.5555555555555556,0.8333333333333334,1.0,False,False,False,27
ElL,1,trans_z,0.24852210027758542,0.1636959906474159,0.17620653928470634,0.07769677668140497,0.18518518518518517,0.47138047138047134,1.0,False,False,False,27
ElL,1,rot_x,0.29992778147556143,0.1680977180684984,0.152853333789734,0.0713399223432398,0.037037037037037035,0.17777777777777776,1.0,True,False,False,27
ElL,1,rot_y,0.46225096443499175,0.19861385474353369,0.19369136713461563,0.09431818082331749,0.0,0.0,0.0,True,True,True,27
ElL,1,rot_z,0.17386203727021096,0.16307035875711898,0.16226621103152752,0.07457108648562498,0.48148148148148145,0.7777777777777778,1.0,False,False,False,27
ElL,2,trans_x,0.04244637032071536,0.14584196842738625,0.16785166393441203,0.07818905464812188,1.0,1.0,1.0,False,False,False,27
ElL,2,trans_y,0.3476584990089382,0.13837281304123597,0.17381648588154894,0.0853117878709337,0.07407407407407407,0.2828282828282828,1.0,False,False,False,27
ElL,2,trans_z,0.028573752685091346,0.17406940960584422,0.17973608699033858,0.11679719164190212,0.9629629629629629,0.9745649263721552,1.0,False,False,False,27
ElL,2,rot_x,0.06372354823827393,0.15484700099190127,0.14991269833361098,0.08673861902343352,0.7777777777777778,0.9468599033816426,1.0,False,False,False,27
